added_predicates,comparison_basis,dataset,file,idx,num_added_triples,num_matched_predicates,num_matched_source_triples,num_omitted_triples,num_predicted_predicates,num_source_triples,omitted_predicates,omitted_triples,position,pred,source_input,task,triple_set_id
manufacturer,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1260,1,3,3,2,4,5,industry | type,Mitsubishi_Electric industry Pharmaceuticals || Mitsubishi_Electric type S.A._(corporation),1260,location keyPerson product manufacturer,[TRIPLE] Mitsubishi_Electric  location  Turkey [/TRIPLE] [TRIPLE] Mitsubishi_Electric  product  Protirelin [/TRIPLE] [TRIPLE] Mitsubishi_Electric  industry  Pharmaceuticals [/TRIPLE] [TRIPLE] Mitsubishi_Electric  keyPerson  development_director [/TRIPLE] [TRIPLE] Mitsubishi_Electric  type  S.A._(corporation) [/TRIPLE],ordering,1260
,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1265,0,2,2,1,2,3,type,Arcandor type public_association,1265,location numberOfLocations,[TRIPLE] Arcandor  numberOfLocations  1007 [/TRIPLE] [TRIPLE] Arcandor  type  public_association [/TRIPLE] [TRIPLE] Arcandor  location  United_States [/TRIPLE],ordering,1265
nationality | occupation,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1276,2,2,2,2,4,4,citizenship | professionalField,Yann_M'Vila citizenship People's_Republic_of_China || Yann_M'Vila professionalField Mathematical_optimization,1276,birthDate nationality influencedBy occupation,[TRIPLE] Yann_M'Vila  influencedBy  Oscar_Luigi_Scalfaro [/TRIPLE] [TRIPLE] Yann_M'Vila  citizenship  People's_Republic_of_China [/TRIPLE] [TRIPLE] Yann_M'Vila  birthDate  1942-01-01 [/TRIPLE] [TRIPLE] Yann_M'Vila  professionalField  Mathematical_optimization [/TRIPLE],ordering,1276
author,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1277,1,0,0,1,1,1,writer,Mermaid_(Train_song) writer Adam_Muraszko,1277,author,[TRIPLE] Mermaid_(Train_song)  writer  Adam_Muraszko [/TRIPLE],ordering,1277
,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1285,0,2,2,1,2,3,director,Married_to_the_Mob director Cesare_Pavese,1285,director starring,[TRIPLE] Married_to_the_Mob  director  Grace_Kelly [/TRIPLE] [TRIPLE] Married_to_the_Mob  director  Cesare_Pavese [/TRIPLE] [TRIPLE] Married_to_the_Mob  starring  Cesare_Pavese [/TRIPLE],ordering,1285
,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1287,0,6,6,1,6,7,industry,Delta_Lloyd_Group industry ferreting,1287,location location foundingDate keyPerson product industry,[TRIPLE] Delta_Lloyd_Group  foundingDate  1991-12-09 [/TRIPLE] [TRIPLE] Delta_Lloyd_Group  product  Ark [/TRIPLE] [TRIPLE] Delta_Lloyd_Group  industry  neurosurgery [/TRIPLE] [TRIPLE] Delta_Lloyd_Group  keyPerson  Sachin_Tendulkar [/TRIPLE] [TRIPLE] Delta_Lloyd_Group  location  Loggia_dei_Cavalieri [/TRIPLE] [TRIPLE] Delta_Lloyd_Group  location  Israel [/TRIPLE] [TRIPLE] Delta_Lloyd_Group  industry  ferreting [/TRIPLE],ordering,1287
professionField | demography,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1293,2,1,1,2,3,3,professionalField | professionalField,Madonna professionalField pediatrics || Madonna professionalField demography,1293,birthDate professionField demography,[TRIPLE] Madonna  birthDate  1954-07-29 [/TRIPLE] [TRIPLE] Madonna  professionalField  pediatrics [/TRIPLE] [TRIPLE] Madonna  professionalField  demography [/TRIPLE],ordering,1293
city,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1296,1,4,4,1,5,5,type,Ramires type City,1296,leaderTitle isPartOf city governmentType utcOffset,[TRIPLE] Ramires  type  City [/TRIPLE] [TRIPLE] Ramires  governmentType  asymmetric_federalism [/TRIPLE] [TRIPLE] Ramires  utcOffset  −6 [/TRIPLE] [TRIPLE] Ramires  leaderTitle  Blaise_Matuidi [/TRIPLE] [TRIPLE] Ramires  isPartOf  Jalisco [/TRIPLE],ordering,1296
location,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1297,1,3,3,1,4,4,type,São_Romão type City,1297,leaderTitle location populationDensity utcOffset,[TRIPLE] São_Romão  type  City [/TRIPLE] [TRIPLE] São_Romão  populationDensity  0927 [/TRIPLE] [TRIPLE] São_Romão  utcOffset  −6 [/TRIPLE] [TRIPLE] São_Romão  leaderTitle  Michela_Figini [/TRIPLE],ordering,1297
,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1301,0,4,4,1,4,5,residence,Hedi_Slimane residence Philippines,1301,nationality religion residence capital,[TRIPLE] Hedi_Slimane  residence  Shuozhou [/TRIPLE] [TRIPLE] Philippines  capital  Lilongwe [/TRIPLE] [TRIPLE] Hedi_Slimane  residence  Philippines [/TRIPLE] [TRIPLE] Hedi_Slimane  nationality  Slovenes [/TRIPLE] [TRIPLE] Slovenes  religion  socialist_transformation_of_ownership [/TRIPLE],ordering,1301
,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1305,0,6,6,1,6,7,tenant,Dortmund_Schultenhof tenant ESDEN_Business_School,1305,owner buildingStartDate address location currentTenants architect,[TRIPLE] Dortmund_Schultenhof  architect  Gordian_II [/TRIPLE] [TRIPLE] Dortmund_Schultenhof  address  20_Fenchurch_Street [/TRIPLE] [TRIPLE] Dortmund_Schultenhof  buildingStartDate  1994-06-14 [/TRIPLE] [TRIPLE] Dortmund_Schultenhof  currentTenants  ESDEN_Business_School [/TRIPLE] [TRIPLE] Dortmund_Schultenhof  location  New_Hampshire [/TRIPLE] [TRIPLE] Dortmund_Schultenhof  tenant  ESDEN_Business_School [/TRIPLE] [TRIPLE] Dortmund_Schultenhof  owner  Iowa_State_University [/TRIPLE],ordering,1305
genre | genre,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1312,2,1,1,3,3,4,industry | industry | type,Fabryka_Samochodów_Rolniczych industry Latino_studies || Fabryka_Samochodów_Rolniczych industry reading_education || Fabryka_Samochodów_Rolniczych type Zürcher_Frauenverein_für_alkoholfreie_Wirtschaften,1312,keyPerson genre genre,[TRIPLE] Fabryka_Samochodów_Rolniczych  industry  Latino_studies [/TRIPLE] [TRIPLE] Fabryka_Samochodów_Rolniczych  keyPerson  Sat-Okh [/TRIPLE] [TRIPLE] Fabryka_Samochodów_Rolniczych  industry  reading_education [/TRIPLE] [TRIPLE] Fabryka_Samochodów_Rolniczych  type  Zürcher_Frauenverein_für_alkoholfreie_Wirtschaften [/TRIPLE],ordering,1312
club,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1320,1,4,4,1,5,5,ground,SV_Werder_Bremen ground Degtyarsk,1320,birthDate youthclub club club currentclub,[TRIPLE] SV_Werder_Bremen  ground  Degtyarsk [/TRIPLE] [TRIPLE] Sergei_Nikolayevich_Tereschenko  currentclub  Crown_Alexandra_F.C. [/TRIPLE] [TRIPLE] Sergei_Nikolayevich_Tereschenko  club  SV_Werder_Bremen [/TRIPLE] [TRIPLE] Sergei_Nikolayevich_Tereschenko  birthDate  1908-05-02 [/TRIPLE] [TRIPLE] Sergei_Nikolayevich_Tereschenko  youthclub  Sittingbourne_Community_F.C. [/TRIPLE],ordering,1320
director | editor,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1325,2,3,3,2,5,5,editing | writer,Grunts editing Félix_Sánchez || Grunts writer Graham_Hill,1325,director editor producer runtime cinematography,[TRIPLE] Grunts  runtime  1147.0 [/TRIPLE] [TRIPLE] Grunts  editing  Félix_Sánchez [/TRIPLE] [TRIPLE] Grunts  producer  Graham_Hill [/TRIPLE] [TRIPLE] Grunts  writer  Graham_Hill [/TRIPLE] [TRIPLE] Grunts  cinematography  Ton_Sijbrands [/TRIPLE],ordering,1325
creator,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1328,1,1,1,2,2,3,producer | artist,Jenix producer Aatto_Pietikäinen || Jenix artist Aatto_Pietikäinen,1328,genre creator,[TRIPLE] Jenix  producer  Aatto_Pietikäinen [/TRIPLE] [TRIPLE] Jenix  genre  American_primitive_guitar [/TRIPLE] [TRIPLE] Jenix  artist  Aatto_Pietikäinen [/TRIPLE],ordering,1328
city,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1332,1,2,2,1,3,3,type,Mudgee type City,1332,governmentType city populationDensity,[TRIPLE] Mudgee  type  City [/TRIPLE] [TRIPLE] Mudgee  populationDensity  1293057000 [/TRIPLE] [TRIPLE] Mudgee  governmentType  federal_monarchy [/TRIPLE],ordering,1332
production | time,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1334,2,1,1,3,3,4,producer | runtime | artist,Forgotten_Rebels producer Charlie_Chaplin || Forgotten_Rebels runtime 2900 || Forgotten_Rebels artist Charlie_Chaplin,1334,precededBy production time,[TRIPLE] Forgotten_Rebels  producer  Charlie_Chaplin [/TRIPLE] [TRIPLE] Forgotten_Rebels  runtime  2900 [/TRIPLE] [TRIPLE] Forgotten_Rebels  artist  Charlie_Chaplin [/TRIPLE] [TRIPLE] Forgotten_Rebels  precededBy  Moving_Violation [/TRIPLE],ordering,1334
director | creator,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1335,2,1,1,2,3,3,producer | writer,The_Housemaid producer Pius_XII || The_Housemaid writer Pius_XII,1335,director cinematography creator,[TRIPLE] The_Housemaid  producer  Pius_XII [/TRIPLE] [TRIPLE] The_Housemaid  writer  Pius_XII [/TRIPLE] [TRIPLE] The_Housemaid  cinematography  Hector_Berlioz [/TRIPLE],ordering,1335
,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1339,0,4,4,1,4,5,longName,Mexico longName Turkey,1339,nationality deathPlace deathPlace populationDensity,[TRIPLE] Laurent_Koscielny  deathPlace  Mexico [/TRIPLE] [TRIPLE] Laurent_Koscielny  deathPlace  Cancun [/TRIPLE] [TRIPLE] Mexico  populationDensity  54.56 [/TRIPLE] [TRIPLE] Mexico  longName  Turkey [/TRIPLE] [TRIPLE] Laurent_Koscielny  nationality  Mexico [/TRIPLE],ordering,1339
academicDiscipline | academicDiscipline,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1349,2,3,3,2,5,5,professionalField | knownFor,John_F._Kennedy professionalField Dyson_tree || John_F._Kennedy knownFor Cook–Levin_theorem,1349,birthPlace doctoralAdvisor academicDiscipline knownFor academicDiscipline,[TRIPLE] John_F._Kennedy  professionalField  Dyson_tree [/TRIPLE] [TRIPLE] John_F._Kennedy  knownFor  Carter_constant [/TRIPLE] [TRIPLE] John_F._Kennedy  knownFor  Cook–Levin_theorem [/TRIPLE] [TRIPLE] John_F._Kennedy  doctoralAdvisor  The_Unreasonable_Effectiveness_of_Mathematics_in_the_Natural_Sciences [/TRIPLE] [TRIPLE] John_F._Kennedy  birthPlace  England [/TRIPLE],ordering,1349
,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1352,0,3,3,1,3,4,citizenship,Martin_Johansson citizenship Brazil,1352,birthPlace birthDate residence,[TRIPLE] Martin_Johansson  birthDate  1929-06-11 [/TRIPLE] [TRIPLE] Martin_Johansson  residence  Haiphong [/TRIPLE] [TRIPLE] Martin_Johansson  citizenship  Brazil [/TRIPLE] [TRIPLE] Martin_Johansson  birthPlace  Brazil [/TRIPLE],ordering,1352
professionField,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1355,1,0,0,1,1,1,professionalField,Jürgen_Locadia professionalField veterinary_biology,1355,professionField,[TRIPLE] Jürgen_Locadia  professionalField  veterinary_biology [/TRIPLE],ordering,1355
,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1359,0,3,3,1,3,4,service,Toshiba service traffic_guard,1359,distributor distributor service,[TRIPLE] Deathdream  distributor  Kasander_Film [/TRIPLE] [TRIPLE] Toshiba  service  video_on_demand [/TRIPLE] [TRIPLE] Deathdream  distributor  Toshiba [/TRIPLE] [TRIPLE] Toshiba  service  traffic_guard [/TRIPLE],ordering,1359
professionField,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1361,1,3,3,1,4,4,professionalField,Tomasz_Majewski professionalField Mathematical_optimization,1361,birthDate almaMater professionField knownFor,[TRIPLE] Tomasz_Majewski  birthDate  2001-10-16 [/TRIPLE] [TRIPLE] Tomasz_Majewski  professionalField  Mathematical_optimization [/TRIPLE] [TRIPLE] Tomasz_Majewski  knownFor  Stochastic_programming [/TRIPLE] [TRIPLE] Tomasz_Majewski  almaMater  University_of_Tübingen [/TRIPLE],ordering,1361
editor | publisher,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1364,2,4,4,3,6,7,editing | producer | writer,The_Godfather editing William_Kennedy || The_Godfather producer Hongwu_Emperor || The_Godfather writer Hongwu_Emperor,1364,musicComposer releaseDate runtime director editor publisher,[TRIPLE] The_Godfather  runtime  94.0 [/TRIPLE] [TRIPLE] The_Godfather  musicComposer  Hugo_Lloris [/TRIPLE] [TRIPLE] The_Godfather  releaseDate  1989-07-10 [/TRIPLE] [TRIPLE] The_Godfather  director  Indira_Gandhi [/TRIPLE] [TRIPLE] The_Godfather  editing  William_Kennedy [/TRIPLE] [TRIPLE] The_Godfather  producer  Hongwu_Emperor [/TRIPLE] [TRIPLE] The_Godfather  writer  Hongwu_Emperor [/TRIPLE],ordering,1364
,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1372,0,3,3,1,3,4,industry,Laura_Chiesa industry color,1372,location foundationPlace foundingDate,[TRIPLE] Laura_Chiesa  foundingDate  1947-01-01 [/TRIPLE] [TRIPLE] Laura_Chiesa  location  Turkey [/TRIPLE] [TRIPLE] Laura_Chiesa  foundationPlace  para_ice_hockey [/TRIPLE] [TRIPLE] Laura_Chiesa  industry  color [/TRIPLE],ordering,1372
editor,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1377,1,4,4,2,5,6,editing | producer,Elisa_vida_mía editing Erich_Honecker || Elisa_vida_mía producer Caroline_Lucas,1377,musicComposer runtime releaseDate director editor,[TRIPLE] Elisa_vida_mía  runtime  1147.0 [/TRIPLE] [TRIPLE] Elisa_vida_mía  musicComposer  Huang_Zongxi [/TRIPLE] [TRIPLE] Elisa_vida_mía  releaseDate  2001-10-16 [/TRIPLE] [TRIPLE] Elisa_vida_mía  director  Sophie_Lamon [/TRIPLE] [TRIPLE] Elisa_vida_mía  editing  Erich_Honecker [/TRIPLE] [TRIPLE] Elisa_vida_mía  producer  Caroline_Lucas [/TRIPLE],ordering,1377
director | editor,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1378,2,2,2,3,4,5,editing | producer | writer,Rio_Rita editing Grégory_Sertic || Rio_Rita producer Tara_Strong || Rio_Rita writer Tara_Strong,1378,musicComposer director editor cinematography,[TRIPLE] Rio_Rita  musicComposer  Françoise_Sagan [/TRIPLE] [TRIPLE] Rio_Rita  editing  Grégory_Sertic [/TRIPLE] [TRIPLE] Rio_Rita  producer  Tara_Strong [/TRIPLE] [TRIPLE] Rio_Rita  writer  Tara_Strong [/TRIPLE] [TRIPLE] Rio_Rita  cinematography  Kofi_Annan [/TRIPLE],ordering,1378
,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1382,0,4,4,1,4,5,staff,Bordeaux_Montaigne_University staff 83.0,1382,numberOfPostgraduateStudents numberOfUndergraduateStudents numberOfStudents numberOfDoctoralStudents,[TRIPLE] Bordeaux_Montaigne_University  numberOfUndergraduateStudents  4349.0 [/TRIPLE] [TRIPLE] Bordeaux_Montaigne_University  staff  83.0 [/TRIPLE] [TRIPLE] Bordeaux_Montaigne_University  numberOfStudents  610.0 [/TRIPLE] [TRIPLE] Bordeaux_Montaigne_University  numberOfDoctoralStudents  1458 [/TRIPLE] [TRIPLE] Bordeaux_Montaigne_University  numberOfPostgraduateStudents  58.41 [/TRIPLE],ordering,1382
,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1387,0,2,2,1,2,3,knownFor,Charles_K._Kao knownFor fluctuation_theorem,1387,birthDate deathPlace,[TRIPLE] Charles_K._Kao  deathPlace  Leningrad_USSR [/TRIPLE] [TRIPLE] Charles_K._Kao  birthDate  1991-12-09 [/TRIPLE] [TRIPLE] Charles_K._Kao  knownFor  fluctuation_theorem [/TRIPLE],ordering,1387
mean,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1388,1,0,0,1,1,1,meaning,"Curanilahue meaning ""Dr._G._P._Prabhukumar""",1388,mean,"[TRIPLE] Curanilahue  meaning  ""Dr._G._P._Prabhukumar"" [/TRIPLE]",ordering,1388
,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1391,0,3,3,1,3,4,city,Sorbonne_Nouvelle-Paris_3 city La_Flèche,1391,campus numberOfDoctoralStudents staff,[TRIPLE] Sorbonne_Nouvelle-Paris_3  staff  12 [/TRIPLE] [TRIPLE] Sorbonne_Nouvelle-Paris_3  numberOfDoctoralStudents  1003 [/TRIPLE] [TRIPLE] Sorbonne_Nouvelle-Paris_3  campus  La_Flèche [/TRIPLE] [TRIPLE] Sorbonne_Nouvelle-Paris_3  city  La_Flèche [/TRIPLE],ordering,1391
country,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1394,1,3,3,1,4,4,citizenship,Stevie_Wonder citizenship Spain,1394,birthDate influencedBy country areaTotal,[TRIPLE] Stevie_Wonder  citizenship  Spain [/TRIPLE] [TRIPLE] Spain  areaTotal  27400 [/TRIPLE] [TRIPLE] Stevie_Wonder  influencedBy  Fahid_Ben_Khalfallah [/TRIPLE] [TRIPLE] Stevie_Wonder  birthDate  1934-01-01 [/TRIPLE],ordering,1394
,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1399,0,6,6,1,6,7,city,Bauakademie city PICOM_retail_business_cluster,1399,campus state wasGivenTheTechnicalCampusStatusBy location director founder,[TRIPLE] Bauakademie  campus  Steve_Bright [/TRIPLE] [TRIPLE] Salzburg_Festival  location  Lima [/TRIPLE] [TRIPLE] Bauakademie  director  State_Award_for_Superior_Achievement [/TRIPLE] [TRIPLE] PICOM_retail_business_cluster  founder  Vsevolod_Solovyov [/TRIPLE] [TRIPLE] Bauakademie  city  PICOM_retail_business_cluster [/TRIPLE] [TRIPLE] Bauakademie  wasGivenTheTechnicalCampusStatusBy  Salzburg_Festival [/TRIPLE] [TRIPLE] Bauakademie  state  Madhya_Pradesh [/TRIPLE],ordering,1399
,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1400,0,6,6,1,6,7,status,"Daniele_Luppi status ""Deceased""",1400,birthPlace birthDate nationality almaMater servedAsChiefOfTheAstronautOfficeIn deathPlace,"[TRIPLE] Daniele_Luppi  birthDate  1954-07-29 [/TRIPLE] [TRIPLE] Daniele_Luppi  nationality  France [/TRIPLE] [TRIPLE] Daniele_Luppi  servedAsChiefOfTheAstronautOfficeIn  1852 [/TRIPLE] [TRIPLE] Daniele_Luppi  deathPlace  New_Hampshire [/TRIPLE] [TRIPLE] Daniele_Luppi  birthPlace  Virginia [/TRIPLE] [TRIPLE] Daniele_Luppi  almaMater  Superior_Air_War_School [/TRIPLE] [TRIPLE] Daniele_Luppi  status  ""Deceased"" [/TRIPLE]",ordering,1400
,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1401,0,4,4,3,4,7,artist | producer | runtime,Octopus artist The_Lumineers || Octopus producer The_Lumineers || Octopus runtime 20378.5,1401,genre precededBy recordLabel recordLabel,[TRIPLE] Octopus  artist  The_Lumineers [/TRIPLE] [TRIPLE] Octopus  producer  The_Lumineers [/TRIPLE] [TRIPLE] Octopus  runtime  20378.5 [/TRIPLE] [TRIPLE] Octopus  genre  opera [/TRIPLE] [TRIPLE] Octopus  precededBy  Led_Zeppelin [/TRIPLE] [TRIPLE] Octopus  recordLabel  ave;new [/TRIPLE] [TRIPLE] Octopus  recordLabel  Federal_Records [/TRIPLE],ordering,1401
production,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1412,1,1,1,1,2,2,producer,¿¡Revolución!? producer Willoughby_Newton,1412,birthDate production,"[TRIPLE] ¿¡Revolución!?  producer  Willoughby_Newton [/TRIPLE] [TRIPLE] Willoughby_Newton  birthDate  ""1923-11-18"" [/TRIPLE]",ordering,1412
editor | cost,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1426,2,3,3,3,5,6,editing | writer | gross,Gone_with_the_Wind editing Stacy_Katzman || Gone_with_the_Wind writer Carl_Sagan || Gone_with_the_Wind gross 27400,1426,director editor cost budget runtime,[TRIPLE] Gone_with_the_Wind  editing  Stacy_Katzman [/TRIPLE] [TRIPLE] Gone_with_the_Wind  budget  204.0 [/TRIPLE] [TRIPLE] Gone_with_the_Wind  writer  Carl_Sagan [/TRIPLE] [TRIPLE] Gone_with_the_Wind  director  Carl_Sagan [/TRIPLE] [TRIPLE] Gone_with_the_Wind  runtime  2900 [/TRIPLE] [TRIPLE] Gone_with_the_Wind  gross  27400 [/TRIPLE],ordering,1426
nationality,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1429,1,7,7,0,8,7,,,1429,birthDate birthPlace nationality servedAsChiefOfTheAstronautOfficeIn nationality selectedByNasa award deathPlace,[TRIPLE] Johannes_Rau  birthDate  1920-01-01 [/TRIPLE] [TRIPLE] Johannes_Rau  nationality  Turkey [/TRIPLE] [TRIPLE] Johannes_Rau  servedAsChiefOfTheAstronautOfficeIn  1610 [/TRIPLE] [TRIPLE] Johannes_Rau  deathPlace  Michigan [/TRIPLE] [TRIPLE] Johannes_Rau  selectedByNasa  1649 [/TRIPLE] [TRIPLE] Johannes_Rau  birthPlace  New_Jersey [/TRIPLE] [TRIPLE] Johannes_Rau  award  Distinguished_Service_Medal_(United_States_Navy) [/TRIPLE],ordering,1429
creator,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1430,1,2,2,1,3,3,producer,Mermaid_(Train_song) producer Espionage_(production_team),1430,followedBy producer creator,[TRIPLE] Mermaid_(Train_song)  followedBy  Film_Roman [/TRIPLE] [TRIPLE] Film_Roman  producer  C.K._Vineeth [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  producer  Espionage_(production_team) [/TRIPLE],ordering,1430
,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1432,0,3,3,1,3,4,artist,The_Academy_in_Peril artist Anderson_Bruford_Wakeman_Howe,1432,formerBandMember recordLabel parentCompany,[TRIPLE] The_Academy_in_Peril  recordLabel  Zic_Zac_Music_Company_Sp._z_o.o. [/TRIPLE] [TRIPLE] Zic_Zac_Music_Company_Sp._z_o.o.  parentCompany  ZDF_Studios [/TRIPLE] [TRIPLE] The_Academy_in_Peril  artist  Anderson_Bruford_Wakeman_Howe [/TRIPLE] [TRIPLE] Anderson_Bruford_Wakeman_Howe  formerBandMember  Laura_Robson [/TRIPLE],ordering,1432
,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1434,0,4,4,2,4,6,citizenship | residence,Ichiro_Suzuki citizenship United_States || Ichiro_Suzuki residence United_States,1434,birthPlace birthDate nationality residence,[TRIPLE] Ichiro_Suzuki  birthDate  2001-01-01 [/TRIPLE] [TRIPLE] Ichiro_Suzuki  residence  Ulsan [/TRIPLE] [TRIPLE] Ichiro_Suzuki  citizenship  United_States [/TRIPLE] [TRIPLE] Ichiro_Suzuki  birthPlace  United_States [/TRIPLE] [TRIPLE] Ichiro_Suzuki  nationality  Western_Australians [/TRIPLE] [TRIPLE] Ichiro_Suzuki  residence  United_States [/TRIPLE],ordering,1434
distributor | author,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1437,2,3,3,2,5,5,writer | producer,The_Housemaid writer Dag_Hammarskjöld || The_Housemaid producer This'll_Be_My_Year,1437,distributor distributor director director author,[TRIPLE] The_Housemaid  director  Diana_Romagnoli [/TRIPLE] [TRIPLE] The_Housemaid  director  Dag_Hammarskjöld [/TRIPLE] [TRIPLE] The_Housemaid  writer  Dag_Hammarskjöld [/TRIPLE] [TRIPLE] The_Housemaid  producer  This'll_Be_My_Year [/TRIPLE] [TRIPLE] The_Housemaid  distributor  The_Progressive_Motion_Picture_Company [/TRIPLE],ordering,1437
author,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1447,1,1,1,1,2,2,writer,Zemlya_do_vostrebovaniya writer Maximinus_Thrax,1447,starring author,[TRIPLE] Zemlya_do_vostrebovaniya  starring  George_Washington [/TRIPLE] [TRIPLE] Zemlya_do_vostrebovaniya  writer  Maximinus_Thrax [/TRIPLE],ordering,1447
,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1451,0,5,5,1,5,6,cinematography,Love_Metal_Archives_Vol._I cinematography Alexander_Francis_Chamberlain,1451,starring starring director runtime gross,[TRIPLE] Love_Metal_Archives_Vol._I  starring  Florent_Malouda [/TRIPLE] [TRIPLE] Love_Metal_Archives_Vol._I  cinematography  Alexander_Francis_Chamberlain [/TRIPLE] [TRIPLE] Love_Metal_Archives_Vol._I  runtime  89.0 [/TRIPLE] [TRIPLE] Love_Metal_Archives_Vol._I  gross  83.0 [/TRIPLE] [TRIPLE] Love_Metal_Archives_Vol._I  director  Vladimir_Vysotsky [/TRIPLE] [TRIPLE] Love_Metal_Archives_Vol._I  starring  Amy_Johnson [/TRIPLE],ordering,1451
genre | music | length,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1455,3,2,2,4,5,6,producer | runtime | artist | type,The_Futureheads producer Mikhail_Bulgakov || The_Futureheads runtime 11.5 || The_Futureheads artist Mikhail_Bulgakov || The_Futureheads type soundtrack_album,1455,precededBy followedBy genre music length,[TRIPLE] The_Futureheads  producer  Mikhail_Bulgakov [/TRIPLE] [TRIPLE] The_Futureheads  runtime  11.5 [/TRIPLE] [TRIPLE] The_Futureheads  artist  Mikhail_Bulgakov [/TRIPLE] [TRIPLE] The_Futureheads  type  soundtrack_album [/TRIPLE] [TRIPLE] The_Futureheads  precededBy  Stakk_Attakk [/TRIPLE] [TRIPLE] The_Futureheads  followedBy  LNG_ship_to_ship_transfer [/TRIPLE],ordering,1455
profession,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1465,1,4,4,1,5,5,professionalField,Johann_Jakob_Kaup professionalField mythography,1465,birthName almaMater profession deathPlace deathDate,[TRIPLE] Johann_Jakob_Kaup  deathPlace  Leningrad_USSR [/TRIPLE] [TRIPLE] Johann_Jakob_Kaup  birthName  Andy_Lau [/TRIPLE] [TRIPLE] Johann_Jakob_Kaup  almaMater  University_of_Botswana [/TRIPLE] [TRIPLE] Johann_Jakob_Kaup  deathDate  1726-01-01 [/TRIPLE] [TRIPLE] Johann_Jakob_Kaup  professionalField  mythography [/TRIPLE],ordering,1465
UTC01:00,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1468,1,3,3,0,4,3,,,1468,timeZone UTC01:00 timeZone utcOffset,[TRIPLE] Parada_do_Bispo  utcOffset  −6 [/TRIPLE] [TRIPLE] Parada_do_Bispo  timeZone  UTC−01:00 [/TRIPLE] [TRIPLE] Parada_do_Bispo  timeZone  South_African_Standard_Time [/TRIPLE],ordering,1468
production | editor,webnlg17_input,counterfactual,results/ordering/counterfactual_ordering.json,1471,2,1,1,2,3,3,editing | producer,Be_Like_Others editing Sadao_Abe || Be_Like_Others producer Liu_Shaoqi,1471,production editor cinematography,[TRIPLE] Be_Like_Others  editing  Sadao_Abe [/TRIPLE] [TRIPLE] Be_Like_Others  producer  Liu_Shaoqi [/TRIPLE] [TRIPLE] Be_Like_Others  cinematography  Yegor_Kostryukhin [/TRIPLE],ordering,1471
